checkpoint_id,year,world_id,world_label,frequency_model_family,frequency_model_label,severity_model_family,severity_model_label,retraining_regime,seed,version,training_window_years,training_window_label,training_data_start_year,training_data_end_year,frequency_rmse,severity_rmse,pure_premium_rmse,net_strategic_value,game_effect_summary,world_narrative,frequency_model_narrative,severity_model_narrative
chk_y1_good_years_freq_baseline_tariff_sev_GLM_annual_locked_s20260513_example_a_v1,1,good_years,Good Years,baseline_tariff,Baseline Tariff,GLM,GLM,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.337275,0.129743,0.229358,77.064163,Initial 1-year training window.,"Frequency and severity are both low, creating a favorable underwriting environment.",Stable reference model that is slow to adapt when the world changes.,Stable learner that performs well when good or stable years repeat in the rolling window.
chk_y1_good_years_freq_baseline_tariff_sev_XGBoost_annual_locked_s20260513_example_a_v1,1,good_years,Good Years,baseline_tariff,Baseline Tariff,XGBoost,XGBoost,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.337275,0.026227,0.17553,82.446983,Initial 1-year training window.,"Frequency and severity are both low, creating a favorable underwriting environment.",Stable reference model that is slow to adapt when the world changes.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.
chk_y1_good_years_freq_GLM_sev_baseline_tariff_annual_locked_s20260513_example_a_v1,1,good_years,Good Years,GLM,GLM,baseline_tariff,Baseline Tariff,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.111532,0.340936,0.230822,76.917797,Initial 1-year training window.,"Frequency and severity are both low, creating a favorable underwriting environment.",Stable learner that performs well when good or stable years repeat in the rolling window.,Stable reference model that is slow to adapt when the world changes.
chk_y1_good_years_freq_GLM_sev_GLM_annual_locked_s20260513_example_a_v1,1,good_years,Good Years,GLM,GLM,GLM,GLM,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.111532,0.129743,0.121001,87.899858,Initial 1-year training window.,"Frequency and severity are both low, creating a favorable underwriting environment.",Stable learner that performs well when good or stable years repeat in the rolling window.,Stable learner that performs well when good or stable years repeat in the rolling window.
chk_y1_good_years_freq_GLM_sev_XGBoost_annual_locked_s20260513_example_a_v1,1,good_years,Good Years,GLM,GLM,XGBoost,XGBoost,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.111532,0.026227,0.067173,93.282678,Initial 1-year training window.,"Frequency and severity are both low, creating a favorable underwriting environment.",Stable learner that performs well when good or stable years repeat in the rolling window.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.
chk_y1_good_years_freq_XGBoost_sev_baseline_tariff_annual_locked_s20260513_example_a_v1,1,good_years,Good Years,XGBoost,XGBoost,baseline_tariff,Baseline Tariff,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.02,0.340936,0.186887,81.311311,Initial 1-year training window.,"Frequency and severity are both low, creating a favorable underwriting environment.",Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.,Stable reference model that is slow to adapt when the world changes.
chk_y1_good_years_freq_XGBoost_sev_GLM_annual_locked_s20260513_example_a_v1,1,good_years,Good Years,XGBoost,XGBoost,GLM,GLM,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.02,0.129743,0.077066,92.293371,Initial 1-year training window.,"Frequency and severity are both low, creating a favorable underwriting environment.",Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.,Stable learner that performs well when good or stable years repeat in the rolling window.
chk_y1_good_years_freq_XGBoost_sev_XGBoost_annual_locked_s20260513_example_a_v1,1,good_years,Good Years,XGBoost,XGBoost,XGBoost,XGBoost,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.02,0.026227,0.023238,97.676191,Initial 1-year training window.,"Frequency and severity are both low, creating a favorable underwriting environment.",Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.
chk_y1_mobility_suppression_freq_baseline_tariff_sev_baseline_tariff_annual_locked_s20260513_example_a_v1,1,mobility_suppression,Mobility Suppression,baseline_tariff,Baseline Tariff,baseline_tariff,Baseline Tariff,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.44313,0.397161,0.419226,58.077384,Initial 1-year training window.,"Frequency changes unevenly as driving patterns shift, while severity pressure stays moderate.",Stable reference model that is slow to adapt when the world changes.,Stable reference model that is slow to adapt when the world changes.
chk_y1_mobility_suppression_freq_baseline_tariff_sev_GLM_annual_locked_s20260513_example_a_v1,1,mobility_suppression,Mobility Suppression,baseline_tariff,Baseline Tariff,GLM,GLM,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.44313,0.180059,0.306333,69.366696,Initial 1-year training window.,"Frequency changes unevenly as driving patterns shift, while severity pressure stays moderate.",Stable reference model that is slow to adapt when the world changes.,Stable learner that performs well when good or stable years repeat in the rolling window.
chk_y1_mobility_suppression_freq_baseline_tariff_sev_XGBoost_annual_locked_s20260513_example_a_v1,1,mobility_suppression,Mobility Suppression,baseline_tariff,Baseline Tariff,XGBoost,XGBoost,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.44313,0.075924,0.252183,74.781717,Initial 1-year training window.,"Frequency changes unevenly as driving patterns shift, while severity pressure stays moderate.",Stable reference model that is slow to adapt when the world changes.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.
chk_y1_mobility_suppression_freq_GLM_sev_baseline_tariff_annual_locked_s20260513_example_a_v1,1,mobility_suppression,Mobility Suppression,GLM,GLM,baseline_tariff,Baseline Tariff,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.211348,0.397161,0.307971,69.202897,Initial 1-year training window.,"Frequency changes unevenly as driving patterns shift, while severity pressure stays moderate.",Stable learner that performs well when good or stable years repeat in the rolling window.,Stable reference model that is slow to adapt when the world changes.
chk_y1_mobility_suppression_freq_GLM_sev_GLM_annual_locked_s20260513_example_a_v1,1,mobility_suppression,Mobility Suppression,GLM,GLM,GLM,GLM,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.211348,0.180059,0.195078,80.492209,Initial 1-year training window.,"Frequency changes unevenly as driving patterns shift, while severity pressure stays moderate.",Stable learner that performs well when good or stable years repeat in the rolling window.,Stable learner that performs well when good or stable years repeat in the rolling window.
chk_y1_mobility_suppression_freq_GLM_sev_XGBoost_annual_locked_s20260513_example_a_v1,1,mobility_suppression,Mobility Suppression,GLM,GLM,XGBoost,XGBoost,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.211348,0.075924,0.140928,85.90723,Initial 1-year training window.,"Frequency changes unevenly as driving patterns shift, while severity pressure stays moderate.",Stable learner that performs well when good or stable years repeat in the rolling window.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.
chk_y1_mobility_suppression_freq_XGBoost_sev_baseline_tariff_annual_locked_s20260513_example_a_v1,1,mobility_suppression,Mobility Suppression,XGBoost,XGBoost,baseline_tariff,Baseline Tariff,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.101861,0.397161,0.255417,74.458293,Initial 1-year training window.,"Frequency changes unevenly as driving patterns shift, while severity pressure stays moderate.",Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.,Stable reference model that is slow to adapt when the world changes.
chk_y1_mobility_suppression_freq_XGBoost_sev_GLM_annual_locked_s20260513_example_a_v1,1,mobility_suppression,Mobility Suppression,XGBoost,XGBoost,GLM,GLM,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.101861,0.180059,0.142524,85.747605,Initial 1-year training window.,"Frequency changes unevenly as driving patterns shift, while severity pressure stays moderate.",Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.,Stable learner that performs well when good or stable years repeat in the rolling window.
chk_y1_mobility_suppression_freq_XGBoost_sev_XGBoost_annual_locked_s20260513_example_a_v1,1,mobility_suppression,Mobility Suppression,XGBoost,XGBoost,XGBoost,XGBoost,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.101861,0.075924,0.088374,91.162626,Initial 1-year training window.,"Frequency changes unevenly as driving patterns shift, while severity pressure stays moderate.",Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.
chk_y1_pandemic_recovery_inflation_freq_baseline_tariff_sev_baseline_tariff_annual_locked_s20260513_example_a_v1,1,pandemic_recovery_inflation,Recovery Inflation,baseline_tariff,Baseline Tariff,baseline_tariff,Baseline Tariff,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.42993,0.49215,0.462284,53.771551,Initial 1-year training window.,Recovery demand returns while repair inflation and claim severity remain elevated.,Stable reference model that is slow to adapt when the world changes.,Stable reference model that is slow to adapt when the world changes.
chk_y1_pandemic_recovery_inflation_freq_baseline_tariff_sev_GLM_annual_locked_s20260513_example_a_v1,1,pandemic_recovery_inflation,Recovery Inflation,baseline_tariff,Baseline Tariff,GLM,GLM,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.42993,0.259501,0.341307,65.869318,Initial 1-year training window.,Recovery demand returns while repair inflation and claim severity remain elevated.,Stable reference model that is slow to adapt when the world changes.,Stable learner that performs well when good or stable years repeat in the rolling window.
chk_y1_pandemic_recovery_inflation_freq_baseline_tariff_sev_XGBoost_annual_locked_s20260513_example_a_v1,1,pandemic_recovery_inflation,Recovery Inflation,baseline_tariff,Baseline Tariff,XGBoost,XGBoost,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.42993,0.157809,0.288427,71.157326,Initial 1-year training window.,Recovery demand returns while repair inflation and claim severity remain elevated.,Stable reference model that is slow to adapt when the world changes.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.
chk_y1_pandemic_recovery_inflation_freq_GLM_sev_baseline_tariff_annual_locked_s20260513_example_a_v1,1,pandemic_recovery_inflation,Recovery Inflation,GLM,GLM,baseline_tariff,Baseline Tariff,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.209463,0.49215,0.35646,64.353967,Initial 1-year training window.,Recovery demand returns while repair inflation and claim severity remain elevated.,Stable learner that performs well when good or stable years repeat in the rolling window.,Stable reference model that is slow to adapt when the world changes.
chk_y1_pandemic_recovery_inflation_freq_GLM_sev_GLM_annual_locked_s20260513_example_a_v1,1,pandemic_recovery_inflation,Recovery Inflation,GLM,GLM,GLM,GLM,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.209463,0.259501,0.235483,76.451734,Initial 1-year training window.,Recovery demand returns while repair inflation and claim severity remain elevated.,Stable learner that performs well when good or stable years repeat in the rolling window.,Stable learner that performs well when good or stable years repeat in the rolling window.
chk_y1_pandemic_recovery_inflation_freq_GLM_sev_XGBoost_annual_locked_s20260513_example_a_v1,1,pandemic_recovery_inflation,Recovery Inflation,GLM,GLM,XGBoost,XGBoost,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.209463,0.157809,0.182603,81.739742,Initial 1-year training window.,Recovery demand returns while repair inflation and claim severity remain elevated.,Stable learner that performs well when good or stable years repeat in the rolling window.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.
chk_y1_pandemic_recovery_inflation_freq_XGBoost_sev_baseline_tariff_annual_locked_s20260513_example_a_v1,1,pandemic_recovery_inflation,Recovery Inflation,XGBoost,XGBoost,baseline_tariff,Baseline Tariff,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.08395,0.49215,0.296214,70.378591,Initial 1-year training window.,Recovery demand returns while repair inflation and claim severity remain elevated.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.,Stable reference model that is slow to adapt when the world changes.
chk_y1_pandemic_recovery_inflation_freq_XGBoost_sev_GLM_annual_locked_s20260513_example_a_v1,1,pandemic_recovery_inflation,Recovery Inflation,XGBoost,XGBoost,GLM,GLM,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.08395,0.259501,0.175236,82.476358,Initial 1-year training window.,Recovery demand returns while repair inflation and claim severity remain elevated.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.,Stable learner that performs well when good or stable years repeat in the rolling window.
chk_y1_pandemic_recovery_inflation_freq_XGBoost_sev_XGBoost_annual_locked_s20260513_example_a_v1,1,pandemic_recovery_inflation,Recovery Inflation,XGBoost,XGBoost,XGBoost,XGBoost,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.08395,0.157809,0.122356,87.764367,Initial 1-year training window.,Recovery demand returns while repair inflation and claim severity remain elevated.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.
chk_y1_self_drive_revolution_freq_baseline_tariff_sev_baseline_tariff_annual_locked_s20260513_example_a_v1,1,self_drive_revolution,Self-Drive Revolution,baseline_tariff,Baseline Tariff,baseline_tariff,Baseline Tariff,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.456808,0.506837,0.482823,51.717711,Initial 1-year training window.,"Frequency changes unevenly as automated driving adoption spreads, while higher repair complexity lifts severity.",Stable reference model that is slow to adapt when the world changes.,Stable reference model that is slow to adapt when the world changes.
chk_y1_self_drive_revolution_freq_baseline_tariff_sev_GLM_annual_locked_s20260513_example_a_v1,1,self_drive_revolution,Self-Drive Revolution,baseline_tariff,Baseline Tariff,GLM,GLM,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.456808,0.290774,0.37047,62.952965,Initial 1-year training window.,"Frequency changes unevenly as automated driving adoption spreads, while higher repair complexity lifts severity.",Stable reference model that is slow to adapt when the world changes.,Stable learner that performs well when good or stable years repeat in the rolling window.
chk_y1_self_drive_revolution_freq_baseline_tariff_sev_XGBoost_annual_locked_s20260513_example_a_v1,1,self_drive_revolution,Self-Drive Revolution,baseline_tariff,Baseline Tariff,XGBoost,XGBoost,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.456808,0.195349,0.32085,67.915047,Initial 1-year training window.,"Frequency changes unevenly as automated driving adoption spreads, while higher repair complexity lifts severity.",Stable reference model that is slow to adapt when the world changes.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.
chk_y1_self_drive_revolution_freq_GLM_sev_baseline_tariff_annual_locked_s20260513_example_a_v1,1,self_drive_revolution,Self-Drive Revolution,GLM,GLM,baseline_tariff,Baseline Tariff,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.233212,0.506837,0.375497,62.45034,Initial 1-year training window.,"Frequency changes unevenly as automated driving adoption spreads, while higher repair complexity lifts severity.",Stable learner that performs well when good or stable years repeat in the rolling window.,Stable reference model that is slow to adapt when the world changes.
chk_y1_self_drive_revolution_freq_GLM_sev_GLM_annual_locked_s20260513_example_a_v1,1,self_drive_revolution,Self-Drive Revolution,GLM,GLM,GLM,GLM,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.233212,0.290774,0.263144,73.685594,Initial 1-year training window.,"Frequency changes unevenly as automated driving adoption spreads, while higher repair complexity lifts severity.",Stable learner that performs well when good or stable years repeat in the rolling window.,Stable learner that performs well when good or stable years repeat in the rolling window.
chk_y1_self_drive_revolution_freq_GLM_sev_XGBoost_annual_locked_s20260513_example_a_v1,1,self_drive_revolution,Self-Drive Revolution,GLM,GLM,XGBoost,XGBoost,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.233212,0.195349,0.213523,78.647676,Initial 1-year training window.,"Frequency changes unevenly as automated driving adoption spreads, while higher repair complexity lifts severity.",Stable learner that performs well when good or stable years repeat in the rolling window.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.
chk_y1_self_drive_revolution_freq_XGBoost_sev_baseline_tariff_annual_locked_s20260513_example_a_v1,1,self_drive_revolution,Self-Drive Revolution,XGBoost,XGBoost,baseline_tariff,Baseline Tariff,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.112781,0.506837,0.31769,68.231006,Initial 1-year training window.,"Frequency changes unevenly as automated driving adoption spreads, while higher repair complexity lifts severity.",Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.,Stable reference model that is slow to adapt when the world changes.
chk_y1_self_drive_revolution_freq_XGBoost_sev_GLM_annual_locked_s20260513_example_a_v1,1,self_drive_revolution,Self-Drive Revolution,XGBoost,XGBoost,GLM,GLM,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.112781,0.290774,0.205337,79.466259,Initial 1-year training window.,"Frequency changes unevenly as automated driving adoption spreads, while higher repair complexity lifts severity.",Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.,Stable learner that performs well when good or stable years repeat in the rolling window.
chk_y1_self_drive_revolution_freq_XGBoost_sev_XGBoost_annual_locked_s20260513_example_a_v1,1,self_drive_revolution,Self-Drive Revolution,XGBoost,XGBoost,XGBoost,XGBoost,annual_locked,20260513,example_a_v1,1,1-year initial window,0,0,0.112781,0.195349,0.155717,84.428342,Initial 1-year training window.,"Frequency changes unevenly as automated driving adoption spreads, while higher repair complexity lifts severity.",Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.
chk_y2_stable_baseline_freq_baseline_tariff_sev_baseline_tariff_annual_locked_s20260513_example_a_v1,2,stable_baseline,Stable Baseline,baseline_tariff,Baseline Tariff,baseline_tariff,Baseline Tariff,annual_locked,20260513,example_a_v1,2,rolling 2-year window,0,1,0.361075,0.372315,0.36692,63.30801,Initial 1-year training window.,Mild drift and low stress keep the portfolio close to historic behavior.,Stable reference model that is slow to adapt when the world changes.,Stable reference model that is slow to adapt when the world changes.
chk_y2_stable_baseline_freq_baseline_tariff_sev_GLM_annual_locked_s20260513_example_a_v1,2,stable_baseline,Stable Baseline,baseline_tariff,Baseline Tariff,GLM,GLM,annual_locked,20260513,example_a_v1,2,rolling 2-year window,0,1,0.361075,0.12323,0.237396,76.260417,Initial 1-year training window.,Mild drift and low stress keep the portfolio close to historic behavior.,Stable reference model that is slow to adapt when the world changes.,Stable learner that performs well when good or stable years repeat in the rolling window.
chk_y2_stable_baseline_freq_baseline_tariff_sev_XGBoost_annual_locked_s20260513_example_a_v1,2,stable_baseline,Stable Baseline,baseline_tariff,Baseline Tariff,XGBoost,XGBoost,annual_locked,20260513,example_a_v1,2,rolling 2-year window,0,1,0.361075,0.02,0.183716,81.628388,Initial 1-year training window.,Mild drift and low stress keep the portfolio close to historic behavior.,Stable reference model that is slow to adapt when the world changes.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.
chk_y2_stable_baseline_freq_GLM_sev_baseline_tariff_annual_locked_s20260513_example_a_v1,2,stable_baseline,Stable Baseline,GLM,GLM,baseline_tariff,Baseline Tariff,annual_locked,20260513,example_a_v1,2,rolling 2-year window,0,1,0.095773,0.372315,0.239575,76.042533,Initial 1-year training window.,Mild drift and low stress keep the portfolio close to historic behavior.,Stable learner that performs well when good or stable years repeat in the rolling window.,Stable reference model that is slow to adapt when the world changes.
chk_y2_stable_baseline_freq_GLM_sev_GLM_annual_locked_s20260513_example_a_v1,2,stable_baseline,Stable Baseline,GLM,GLM,GLM,GLM,annual_locked,20260513,example_a_v1,2,rolling 2-year window,0,1,0.095773,0.12323,0.110051,88.99494,Initial 1-year training window.,Mild drift and low stress keep the portfolio close to historic behavior.,Stable learner that performs well when good or stable years repeat in the rolling window.,Stable learner that performs well when good or stable years repeat in the rolling window.
chk_y2_stable_baseline_freq_GLM_sev_XGBoost_annual_locked_s20260513_example_a_v1,2,stable_baseline,Stable Baseline,GLM,GLM,XGBoost,XGBoost,annual_locked,20260513,example_a_v1,2,rolling 2-year window,0,1,0.095773,0.02,0.056371,94.36291,Initial 1-year training window.,Mild drift and low stress keep the portfolio close to historic behavior.,Stable learner that performs well when good or stable years repeat in the rolling window.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.
chk_y2_stable_baseline_freq_XGBoost_sev_baseline_tariff_annual_locked_s20260513_example_a_v1,2,stable_baseline,Stable Baseline,XGBoost,XGBoost,baseline_tariff,Baseline Tariff,annual_locked,20260513,example_a_v1,2,rolling 2-year window,0,1,0.02,0.372315,0.203204,79.679623,Initial 1-year training window.,Mild drift and low stress keep the portfolio close to historic behavior.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.,Stable reference model that is slow to adapt when the world changes.
chk_y2_stable_baseline_freq_XGBoost_sev_GLM_annual_locked_s20260513_example_a_v1,2,stable_baseline,Stable Baseline,XGBoost,XGBoost,GLM,GLM,annual_locked,20260513,example_a_v1,2,rolling 2-year window,0,1,0.02,0.12323,0.07368,92.63203,Initial 1-year training window.,Mild drift and low stress keep the portfolio close to historic behavior.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.,Stable learner that performs well when good or stable years repeat in the rolling window.
chk_y2_stable_baseline_freq_XGBoost_sev_XGBoost_annual_locked_s20260513_example_a_v1,2,stable_baseline,Stable Baseline,XGBoost,XGBoost,XGBoost,XGBoost,annual_locked,20260513,example_a_v1,2,rolling 2-year window,0,1,0.02,0.02,0.02,98.0,Initial 1-year training window.,Mild drift and low stress keep the portfolio close to historic behavior.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.
chk_y2_good_years_freq_baseline_tariff_sev_baseline_tariff_annual_locked_s20260513_example_a_v1,2,good_years,Good Years,baseline_tariff,Baseline Tariff,baseline_tariff,Baseline Tariff,annual_locked,20260513,example_a_v1,2,rolling 2-year window,0,1,0.327671,0.334153,0.331042,66.895817,Initial 1-year training window.,"Frequency and severity are both low, creating a favorable underwriting environment.",Stable reference model that is slow to adapt when the world changes.,Stable reference model that is slow to adapt when the world changes.
chk_y2_good_years_freq_baseline_tariff_sev_GLM_annual_locked_s20260513_example_a_v1,2,good_years,Good Years,baseline_tariff,Baseline Tariff,GLM,GLM,annual_locked,20260513,example_a_v1,2,rolling 2-year window,0,1,0.327671,0.091742,0.204988,79.501178,Initial 1-year training window.,"Frequency and severity are both low, creating a favorable underwriting environment.",Stable reference model that is slow to adapt when the world changes.,Stable learner that performs well when good or stable years repeat in the rolling window.
chk_y2_good_years_freq_baseline_tariff_sev_XGBoost_annual_locked_s20260513_example_a_v1,2,good_years,Good Years,baseline_tariff,Baseline Tariff,XGBoost,XGBoost,annual_locked,20260513,example_a_v1,2,rolling 2-year window,0,1,0.327671,0.02,0.167682,83.231778,Initial 1-year training window.,"Frequency and severity are both low, creating a favorable underwriting environment.",Stable reference model that is slow to adapt when the world changes.,Aggressive learner that shines in volatile or complex worlds but can overfit short calm history.
chk_y2_good_years_freq_GLM_sev_baseline_tariff_annual_locked_s20260513_example_a_v1,2,good_years,Good Years,GLM,GLM,baseline_tariff,Baseline Tariff,annual_locked,20260513,example_a_v1,2,rolling 2-year window,0,1,0.072658,0.334153,0.208635,79.136455,Initial 1-year training window.,"Frequency and severity are both low, creating a favorable underwriting environment.",Stable learner that performs well when good or stable years repeat in the rolling window.,Stable reference model that is slow to adapt when the world changes.
